Distance_(mm),Gray_Value
0,10
2,75
4,115
6,142
8,160
10,172
12,180
14,184
16,187
18,189
20,190
22,190
24,190
26,189
28,189
30,187
32,186
34,184
36,181
38,180
40,178
42,177
44,175
46,172
48,171
50,169
52,168
54,165
56,163
58,162
60,160
62,159
64,157
66,154
68,153
70,151
72,150
74,148
76,147
78,145
80,144
82,142
84,141
86,139
88,138
90,136
92,135
94,133
96,132
98,130
100,129
102,127
104,126
106,124
108,123
110,121
112,121
114,120
116,118
118,117
120,115
122,114
124,112
126,112
128,111
130,109
132,108
134,108
136,106
138,105
140,103
142,102
144,102
146,100
148,99
150,99
152,97
154,96
156,94
158,94
160,93
162,93
164,91
166,90
168,90
170,88
172,87
174,87
176,85
178,85
180,84
182,82
184,82
186,81
188,81
190,79
192,79
194,78
196,76
198,76
200,75
202,75
204,73
206,73
208,72
210,72
212,70
214,70
216,69
218,69
220,67
222,67
224,67
226,66
228,66
230,64
232,64
234,63
236,63
238,61
240,61
242,61
244,60
246,60
248,58
250,58
252,58
254,57
256,57
258,55
260,55
262,55
264,54
266,54
268,54
270,52
272,52
274,52
276,51
278,51
280,51
282,49
284,49
286,49
288,48
290,48
292,48
294,46
296,46
298,46
300,45
302,45
304,45
306,45
308,43
310,43
312,43
314,42
316,42
318,42
320,42
322,40
324,40
326,40
328,40
330,39
332,39
334,39
336,39
338,37
340,37
342,37
344,37
346,36
348,36
350,36
352,36
354,34
356,34
358,34
360,34
362,34
364,33
366,33
368,33
370,33
372,33
374,31
376,31
378,31
380,31
382,31
384,30
386,30
388,30
390,30
392,30
394,28
396,28
398,28
400,19
402,0
