Distance_(mm),Gray_Value
0,0
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
50,0
52,0
54,0
56,0
58,0
60,0
62,0
64,0
66,0
68,0
70,0
72,0
74,0
76,0
78,0
80,0
82,0
84,0
86,0
88,0
90,0
92,0
94,0
96,0
98,0
100,0
102,0
104,0
106,0
108,0
110,0
112,0
114,0
116,0
118,0
120,1
122,1
124,1
126,1
128,1
130,1
132,1
134,1
136,1
138,1
140,1
142,1
144,1
146,1
148,1
150,3
152,3
154,3
156,3
158,3
160,3
162,3
164,4
166,4
168,4
170,4
172,6
174,7
176,12
178,21
180,36
182,51
184,57
186,58
188,60
190,61
192,61
194,61
196,61
198,61
200,63
202,63
204,63
206,61
208,61
210,61
212,61
214,61
216,61
218,61
220,61
222,59
224,58
226,56
228,49
230,36
232,21
234,11
236,7
238,6
240,4
242,4
244,4
246,4
248,3
250,3
252,3
254,2
256,2
258,2
260,2
262,1
264,1
266,1
268,1
270,1
272,1
274,1
276,1
278,1
280,1
282,1
284,1
286,1
288,1
290,0
292,0
294,0
296,0
298,0
300,0
302,0
304,0
306,0
308,0
310,0
312,0
314,0
316,0
318,0
320,0
322,0
324,0
326,0
328,0
330,0
332,0
334,0
336,0
338,0
340,0
342,0
344,0
346,0
348,0
350,0
352,0
354,0
356,0
358,0
360,0
362,0
364,0
366,0
368,0
370,0
372,0
374,0
376,0
378,0
380,0
382,0
384,0
386,0
388,0
390,0
392,0
394,0
396,0
398,0
400,0
